,0
0,"Slight petroleum on the nose at first, later on peach, yellow fruit. Crisp, good body, mature wine. Very nice!"
1,"Oak, vanilla and peach. Wonderful :)"
2,"Dry, oak, vanilla, peach"
3,Sunghyun Hwang peach oak lemon lemon apple pineapple minerals
4,Okay dry white 40 euro expensive. Had in Bordeaux for 8 euro a glass trés bien
5,"Pale in color. White peaches, flint, gunsmoke, candied lime, vanilla pods. Medium plus acidity remains, prickly and delicious"
6,Beautiful buttery grand cru from AOC Pessac-Leognan
7,"This Bordeaux is a structured wine, complex, tannic with a medium plus acidity showing notes of dark plums,blackberries, black currant,cherries complimented by oak,cedar and herbs."
8,"Damn! Elegant! Damn elegant! Initial herbaceous hit on the nose with a softer orchard fruit and well integrated buttery oakiness that blends in like camouflage. Decent mouth weight and chalky minerality. With oak and ripe fruit flavours yet retaining a freshness. M(+) acidity lending itself to the roundness. A shorter finish than I'd like, but a lovely drop."
9,"Dark ruby red colour. Ripe nose with chocolate, mint and dark fruit like cassis and plum with fine wood. The palate is dense with good weight, young texture but ripe tannin, fresh cassis and plum flavour, some notes of tobacco and a long, dense finish. 91/100"
10,"80/100 Very Good Sauvignon blanc barrel fermented and age 10 month in oak Pronounced intensity of Ripe golden apple overripe gooseberry herbaceous grass lees butter smoke toasted white pepper dried lime & pineapple M+ body M acidity High alcohol M+ intensity M+ finish Typical of a serious oaky white Pessac Leognan, rarely seen on the market nowadays. Tasted blind I guessed was a 2010 oaky SB, but instead has +6y.! It's holing his development quite well with an unfortune...The acidity is dropping"
11,"Great balance, smoky notes, fruit notes on citrus and pineapple and stone fruits - À finish on a spicy end"
12,Small winery of André Lurton producing exquisite whites. Lemony with exotic fruits. Superb balance and very impressive length. A real gem !
13,"Interesting pure sauvignon blanc. A bit of sulphur. Ripe style, still light yellow . More power than a s.b.from most S.b from loire."
14,"Excellent White Bordeaux. Beautiful yellow color, nice oak aroma with hint of oil. Like the acidy and texture. Complex fruity and flower taste."
15,"A nice bottle of white Bordeaux. Fresh, precise and delicate wine. Lots of green fruit, sitrus and flowers. Nice hint of oak. 88p"
16,"Green gages, pears, flinty minerality, high crisp acidity with full body and some tropical pineapple, aged on the Lees which gives some roundness"
17,"Pear, flint, gun powder, passion fruit, pineapple, melon, apricot, lemon, apple. Medium plus acidity, refreshing, intriguing, zesty."
18,"14 year old savingon Blanc under screw cap Amazing as a fact as in Let alone what is revealed under rmcap. Intact, aromatic nose of Beeswax, cat piss"
19,Long and complex taste. High initial acidity that is changed for flowers and nougat and a touch of bitterness in the end. Tasty!
20,"Lovely Sauvignon Blanc Bordeaux! A buttered oak barrel filled with apricot, pineapple and mango, strong mineral acidity and a long zesty bitter ending."
21,"Very fresh, fruity and aromatic with notes of black currant leaves, gooseberry, nettles and citrus.Elegant, concentrated and with balanced oaky notes."
22,Peach. Grapefruit. Butter. A great vintage. Strangely reaching its peak with scent of cooked fruit. Could be storage condition. A solid bottle nonetheless.
23,"Apricot-honey nose, malic palate, bone dry; lasts well. New oak barrels it says on the back of the bottle. I asked everyone ""What grape?"" - Nobody got it. Enjoyed it."
24,"Clear, deep lemon, legs. peach, pineapple, toast, mineral aroma. dry, using oak, medium + acidity, medium+ body,alcohol. finish is medium+. 100% sauvinon blanc Bordeaux wine."
25,Pale yellow. Really nice slightly floral Sauvignon dominated nose. Some depth underneath. Bigger palate than expected: gooseberries and wine gums. I found this very harmonious.
26,"Well balanced, full bodied with great long aftertaste. Wonderful nose to top it up. Five year old whites you dont find much in this price range, but this one developed beautifully"
27,"Medium+ Peach, nectarine and lychee on the nose combined with the smell of malolactic fermentation. Refreshing acidity all in balance with the flavor profile. Medium+ length. Delicious wine"
28,"Toasting our last night in France with this lovely Pessac Leognan we've been carrying with us since St. Emilion. 100 % SB. Dry. Medium plus acidity. Loads of citrus, especially grapefruit."
29,"A refined SB from the Château Couhins-Lurton, which belongs to André Lurton Winery, Villenave d'Ornon, Pessac-Léognan, Bordeaux 🇫🇷! The fresh nose shows a whiff of honeysuckle, citrus oil and white flowers! Crispy and very elegant on the palate it opens with the enchanting bouquet of green apple, quince, gooseberry, vanilla, nutmeg and lemon peel flavours laced by delicate spicy tarragon notes! A charming fruity wine with balanced acidity and lingering mineral finish! Recommend! 91 - Robert Parker!"
30,"For sure interesting SB to try if you keen to extend your horizon 😜 Intense goldish color which closer to Chardonnay, fantastic nose of blossom, tropical fruits and Sea breeze. Aging in barrel left sign in body also - its medium bodied plus, but still very lively acidity and freshness punch 👌 Taste is loaded by grainy apples, Quince in sugar, some starfruit, lime and minerals dose. Aftertaste gives salty and bitter pleasure 😋 Like it despite, not formal presence 4++"
31,color is light lemon the first nose has a profound minerality and then the aromatic profile evolves into a tropical fruity style I got fresh melon ripe passion fruit overripe nectarine guava and finally the minerality and fruiness mixes together which reminds me of mixed tropical milk shake on the palate refreshing high acidity medium body medium alcohol it has a slight bitterness in the aftertaste which increases the complexity suitable for hot summer days arcachon balanced wine fatty sea food
32,"3.9 🇫🇷 My second go on this bad boy. And o ly one month ago on top of that. I really enjoyed this one. An inital acidic hit that lingers and fades over to a smooth nice flavour that im new to. Long oaftertaste that is very welcomed. If you like sweet wine look elsewhere this has attitude with a chiq touch. Nice Hwre i get oak of aging a mouthfeel of beatiful peach and gooseberry, lime and butter notes that smack your 👄 some granny smith apple. Abit of hay i also get. Reslly recommended if you like unique"
33,"After a year retasting this explosive and rich SB. Bright medium golden colour. Intense and expressive aroma of candied citrus peel, melons, croissants, honey, quince, pineapple, fresh oak. Palate is full and quite dense filled with rich and fragrant flavours mirroring aroma which are coated in high, crisp and vibrant acidity. Its a must try for SB lovers."
34,"Perfumed flowers, citrus, melon, wood. Lovely. Fresh and tannic attack. Very fruity on the palate. Precise and elegantly built. Super delicious and airy midpalate. A very elegant and lithe wine, layered and changing. Great,  great balance. Notes of citrus, melon, wood and flowers. Super nice wine! 93"
35,"VK Bordeaux tasting. Wine #3. Completely dry, but a seductive treat on it's own. Dried fruit, tropical fruit, honey, flower notes on the nose. Star fruit, ripe mango, quince, almonds, lemon zest on the palate. Medium plus acidity nicely balances the strongly expressed fruitiness. Bold, well matured, enjoyable."
36,"🎯 89/100 pts 4.1 ⭐️ 👍🏼 Continue with my White Bordeaux tasting. This is now my third bottle of the batch from this Chateau and still nice and in great condition. 🍇 100% Savignon Blanc 🎨 Straw yellow color. 👃🏼Nice scents of apple, citrus, elder and gooseberry and some hints of grass and minerals in the nose. 👄 Some development since last bottle. Bold and elegant wine with markant floral aroma of elder and gooseberry with nice integrated barrels. Well balanced and have still a fresh acidity."
37,"Hard to believe this claret is a SB. Exudes oak and butter but reveals layers of green apple, sour citrus, and walnut. Has aged beautifully. Paired with mackerel ceviche, caprese and a roast chicken dinner. Yum!"
38,"4,0⭐️ Forever young?!👍 Retested and still young. 👁 Light golden yellow with greenish notes. 👃👅 Dry, medium body, crispy with good acidity. Gooseberries, grapefruit, citrus, black currant leaf, notes of oak - but not much. 🍇 SB 100 %. Average age of vines 27 years. 🕰 Matured for 10 months in oak barrels on full lees. No malolactic fermentation. Alc: 13 %"
39,"Very good Sauvignon Blanc from Bordeaux left bank, France 🇫🇷 Graves Grand Cru classé. 👁 Medium gold 👃 Medium aromatic intensity, notes of honey, acacia, dried fruit, hay, oak 👄 Dry, refreshing, good intensity of flavours, high acidity, medium body, main notes of honey, apple, chamomile and lemon. Long aftertaste. ✅ Pairs nicely with light meat dishes, fish, hard cheese_, green vegetables (asparagus_). Notes from Certif en Vin Français - niv 2"
40,"Very nice white Bordeaux made of 100% Sauvignon Blanc. Lovely golden color. Nose of gooseberry, elderflower, vanilla, lightly toasted oak and citrus. Great acidity, lovely texture and amazing length. Great to grilled trout stuffed with fennel, green onions, lemon slices and loads of butter together with sauce verde. 👍🏼"
41,"Very good white Pessac-Léognan AOC (Graves, Bordeaux 🇫🇷) from Sauvignon Blanc, refreshing and intense: -appearance: medium gold -on the nose: powerful intensity of vegetal notes (straw), white flowers(acacia), honey, dried fruit, oak -on the palate: dry, medium body, high acidity, med. alcohol 13°, good intensity of flavours with notes of apple, honey, chamomile and lemon with long aftertaste of honey-lemon - to be served chilled and be paired with light meat dishes, fish, hard cheese_, green vegetable"
42,"100% Sauvignon Blanc 👀 light lemon 👃 medium grass, gooseberry, white peach, honey, butter, vanilla 👅 dry, high acidity, medium + alcohol, medium body, medium white peach, honey, vanilla, medium + finish 👉 very good"
43,"It is a white wine from Pessac Leognan more than 20 years ago. The golden liquid makes you feel the passage of time. Complex flavors such as grapefruit, cream, licorice and mint. It may be past the best time, but it is a wonderful wine."
44,"This is a ripe and complex left-bank Bordeaux, just perfectly matured. It’s bursting with flavor of baked apple, vanilla pod, butter and caramel, royally structured with a sheer never-ending finish. Honey and smoke begin to appear on the palate. The fruit is incredibly fresh, even if quite ripe, and the acidity is so refreshing. Super long finish with lemon and some ripe peach appearing."
45,"Bought this for two reasons: One, the vintage, two, to eliminate my non existing experience of Bordeaux Blanc. I rather liked this on. Peaches, lemon, gooseberries and some black currant leaf. Ah, and don’t forget the oak. Lovely and alive but rounded and mature at the same time."
