,0
0,"A great example of Austrian Grüner Veltliner. Fresh green apple, grapefruit, slight pineapple, green pepper. Fresh and structured. Balanced."
1,Light smell Tree fruit and white pepper / spice green apple lemon citrus minerals Good alternative to a Sauvignon blanc ! Would be good with a white fish
2,"The second Grüner of the night was a bit more dry with lovely citrus and mouthwatering acidity; it, too, paired nicely with a braised pork shoulder and asparagus soup. I'm really enjoying Austrian whites lately. Cheers! 🇦🇹"
3,"Green, peppery, nice acidity and balance with just a bit of green apple and lemon."
4,I was surprised to find a white that unlike from Austria! If you like acidic tart whites try this and be presently surprised.
5,"The wine recommends a fair price, 15 euro Recommends Bachus Wine"
6,Green apple and honey. Light body and medium acidity. Great patio sipper.
7,Fantastic crisp white with high acid and grapefruit notes.
8,Very crisp and refreshing. Jake’s Del Mar
9,Gooseberry Lemon Eple Fruity Off dry
10,N: popcorn T: green apple
11,"Medium + intensity nose of yellow apple, pear, lemon, white pepper, white flower, and bay leaf. Very dry, high acid, medium alcohol, medium body. Lime, celery and wet stone join on the palate. Moderate finish. Good quality. 87"
12,"It doesn't thrill, but it's made with care and love, so in the end I'm satisfied. I could say more or less the same for all the grüner veltliners I've tasted in my life, so I think it's my final opinion about this grape. It displays green apple, pear, grapefruit and hints of mango, balanced with delicate herbal notes. On the palate it's medium-bodied, easy and aromatic, with a fine fresh finish. Pretty. A thing I didn't know: DW is a coop whose members own 30% of the vineyard area in the Wachau region."
13,"This is my first Gruner Veltliner Nice, cute, drunk at a restaurant in Wagrain, Austria 3.6 euro for a glass. In Israeli terms this is high VFM but in Austrian terms I don’t know... taxs and wine shops margins are big in Israel"
14,Pleasurable day time deck companion for that weekend drizzle. Wet stone in the nose. Restrained pale summer fruits on the palate. A light bite and hints of honey in the hinterlands. At ease with the more eloquent poolside snack. 3.7
15,True vegetal earthy flavor. Fresh clean and well rounded mouthfeel. Good intro to a griuñer veltliner
16,Nice Grüner Veltiner with aromas of green apple and citrus. Superb play of minerals and acid on the palate....
17,"Not bad, but for our cheese fondue slightly to sweet for our taste"
18,"pleasant fruits supper by good acidity, nice wine"
19,Dry white with pleasant acidity. Dryer than a nun’s nasty.
20,"TGJ wine tasting Madeline Guiney. A - light gold , N- lemon, apple, crisp, P - crisp, light body , C - Outstanding"
21,"Dry , little acidic and carries interesting flavors. I like Austrian white wines"
22,"Beautiful nose reminiscent of botrytis riesling (Noble One?) And liquer muscat, but without the heavy syrupiness on the palate. Very juicy and fresh. Nice balance of sweetness and slight lemon meringue tarty pieness!"
23,"Beautiful smooth and crisp Austrian white. Floral notes, with hints of citrus."
24,Medium minus body. Typical green tinge with light hints of spice
25,"Nose: green grass, light. Taste green grass, melon, citric nice"
26,"Got this half price, lovely touch of acid, pepper and maybe I’m wrong but was getting a hint of peach in the background"
27,"Green apple, pepper, pear."
28,Had it in San Marcos
29,Got this brilliant yellow green clour . And with hint of exotic fruit
30,Easy to drink. Balanced body between acidity and minerality. Great pair with white fish
31,"The White Room, 1st Round"
32,Solid! Apple and Pepper! :-)
33,"Tasted during WSET LV 3 07.09.2020 Appearance is clear, lemon gold. Nose has a medium intensity, wine is still developing. Lemon and red apple are the primary in the nose, some stone fruits as well, peach and apricot mostly. Hints of cheese in the nose. Palate follows most of the nose, wine is dry and has medium acidity and medium to light body. Also med finish. Not much else to say, it is a good wine."
34,"Sour and acidic, faint smell of orange blossom. Pairs well with goat cheese."
35,A lot of citrus and a touch of petroleum. Finishes off with minerals and nectarine.
36,"White pepper, yellow apple, earthy"
37,"Smooth and peppery.. green pepper and cracked pepper, just the way a Gruners should be"
38,Orange peel smell
39,"Dry and crisp, with some sour Apple in the smell thing. It's good, really good, and goes well with lazy great and minimalist seafood pairings"
40,"Fruity, a lot of citrus refreshing taste, green apples, nice ending, good with salad or white meat, nicely balanced."
41,"White pepper, vegetal, butternut squash"
42,Light citrus flavor great for summer Pear apple notes no after bite.
43,"Good fruit, green apple"
44,My all time favourite white. I've never tasted a bad vintage.
45,"Definitely get that green apple vibe. Smooth, refreshing. Great with trout."
46,Light and dry
47,Sipping safari. Excellent
48,"Love this wine! It's the ""house white"" in our household, goes well with most dishes."
49,"Austria's pride in the glass, a Wachauer GruVee... A Smaragd, which means highest level of ripeness grapes used.... A medium golden colored wine with medium + intense nose with banana, melon, elderflower, resin, apricots and blossom. On the palate not surprisingly a rich experience with melons, apricots, yoghurt, herbal tones, yet very harmonious! In addition it has a nice glycerine/oily mouthfeel, Refreshing medium acidity and a medium (+) length. A very good wine that has some ageing potential as well!"
50,"Very intense flowery nose, maybe jasmin. With time, nose becomes earthy. On tge palate, mineral and citrusy (acidity develops with time)"
51,"Refreshing full of flavours, slightly sweet and i got tones of peaches and pears blended with citrus after taste. Really nice wine"
52,"Spicey, fresh and oh so refreshing! Stonefruit, citrus and dusty, crushed rock minerality. We do love a good 🇦🇹 GV. 🅿️róst 🅿️eople!"
53,"Tried this 2019 vintage first time 6 months ago. Same stuff, same rating. Additional note: was delish with homemade sweet potato soup"
54,"Still had life to it after 9 years. Lots of citrus and tree fruit, complemented by wet rock, slate, crushed stone and green herbs."
55,Delightful nose of white flowers struck match and white pepper. The mineral palate delivers. Better than I would have expected for a Federspiel.
